DEMO COMPANY SL,,
DEMO COMPANY SL - Balance de situación 01/01/2023-31/12/2023,,
01/01/2023  -  31/12/2023,,
,,
,Total,
ACTIVO,,
Activo No Corriente,"67527,19",
I. Inmovilizado intangible,"30454,16",
5. Aplicaciones informáticas,"30454,16",
206 Aplicaciones informáticas,394176,
20600001 - CASH LESS DESARROLLO SOFTWARE,394176,
2806 Amortización acumulada de aplicaciones informáticas,"-363721,44",
28060001 - AMORTACUMCASH LESS,"-363721,44",
II. Inmovilizado material,"16272,3",
2. Instalaciones técnicas y otro inmovilizado material,"16272,3",
216 Mobiliario,"11659,57",
21600001 - 5 ASIENTOS RECLINABLES,905,
21600002 - 5 MESAS OFICINA LINEAL,582,
21600003 - 5 CAJONERAS RODANTES,524,
21600004 - 4 ARCHIVADORES VERTICALES,801,
21600005 - 6 ARCHIVADORES METALICOS,827,
21600006 - 2 ARMARIOS ALTOS DE PUERTAS,384,
21600007 - 4 PUF REDONDO O CUADRADO,"610,07",
21600008 - MESA DE JUNTAS DE MEDIDAS 200X120 SOBRE LAMINADO Y PIES METALICOS,"543,4",
21600009 - 2 CONJUNTO DE 4 MESAS DE MEDIDAS 120120,"1448,3",
21600010 - MESA DE 120X80 SOBRE LAMINADOS Y PIES METALICOS,"368,6",
21600011 - 2 MESAS ALTAS DE MEDIDAS 120X80X105 SOBRE LAMINADO Y PIES METALICOS,"729,7",
21600012 - 6 SILLONES GIRATORIOS EN ACERO CROMADO,"632,0",
21600013 - 4 TABURETES REDONDOS EN ACERO CROMADO,"579,6",
21600014 - 9 SILLAS DE OFICINA TAPIZADO TRANSPIRABLE EDICION OSCURA,"1117,9",
21600015 - 4 MESAS DE 120X80 SOBRE LAMINADO Y PIES METALICOS,"1028,4",
21600016 - 4 SILLAS DE OFICINA TAPIZADO TRANSPIRABLE EDICION OSCURA,"579,6",
217 Equipos para procesos de información,"13991,90",
21700001 - AMORT DE PORTATIL PREMIUM ULTRALIGERO P_RLH,"2713,3",
21700002 - AMORT DE TELEFONO MOVIL GAMA MEDIA_RLH,"622,42",
21700003 - AMORT DE PORTATIL GAMA BASICA PORTATIL_ILA,"482,65",
21700004 - AMORT DE PORTATIL GAMA BASICA PORTATIL_MT,"482,65",
21700005 - AMORT DE PORTATIL COMPACTO GAMA BASICA PORTATIL_LVP,"502,76",
21700006 - AMORT DE MONITORES PANTALLA VISUAL ANCHA_RLH,"130,70",
21700007 - AMORT DE MONITORES PANTALLA VISUAL ANCHA_LVP,"130,70",
21700008 - AMORT DE MONITOR PANTALLA VISUAL ANCHA_AFLC,"130,70",
21700009 - AMORT DE MONITOR PANTALLA VISUAL ANCHA_DBB,"141,36",
21700010 - AMORT DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_MS,"495,24",
21700011 - AMORT DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_DBB,"753,17",
21700012 - AMORT DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_KCS,754,
21700013 - AMORT DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_AFLC,754,
21700014 - AMORT DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_AGD,754,
21700015 - AMORT DE PORTATIL GAMA BASICA PORTATIL_SAG,602,
21700016 -  AMORT DE PORTATIL COMPACTO GAMA BASICA PORTATIL_NMF,"555,48",
21700017 - AMORT DE ORDENADOR SOBREMESA GAMA ALTA_RPL,"1367,44",
21700018 - AMORT DE PORTATIL GAMA BASICA PORTATIL_MCL,"533,94",
21700019 - AMORT DE MONITOR PANTALLA VISUAL ANCHA_KSV,"127,69",
21700020 - AMORTIZACO PORTATIL SENCILLO LVP,"603,32",
21700021 - AMORT TELEFONO MOVIL GAMA ALTA 512GB-YPT,1357,
2816 Amortización acumulada de mobiliario,"-3132,87",
28160001 - AMORTACUM5 ASIENTOS RECLINABLE,"-436,14",
28160002 - AMORTACUM5 MESAS OFICLINEAL,"-280,64",
28160003 - AMORTACUM5 CAJONERAS RODANTES,"-252,45",
28160004 - AMORTACUM4 ARCHIV VERTICAL,"-385,69",
28160005 - AMORTACUM 6 ARCHIVMETAL,"-398,34",
28160006 - AMORTACUM 2 ARMARIOS ALTOS DE PUERTAS,"-185,07",
28160007 - AMORTACUM 4 PUF REDONDO O CUADRADO,"-95,49",
28160008 - AMORTACUM MESA DE JUNTAS DE MEDIDAS 200X120 SOBRE LAMINADO Y PIES METALICOS,"-84,92",
28160009 - AMORTACUM 2 CONJUNTO DE 4 MESAS DE MEDIDAS 120120,"-226,4",
28160010 - AMORTACUM MESA DE 120X80 SOBRE LAMINADOS Y PIES METALICOS,"-57,75",
28160011 - AMORTACUM 2 MESAS ALTAS DE MEDIDAS 120X80X105 SOBRE LAMINADO Y PIES METALICOS,"-114,17",
28160012 - AMORTACUM 6 SILLONES GIRATORIOS EN ACERO CROMADO,"-98,89",
28160013 - AMORTACUM 4 TABURETES REDONDOS EN ACERO CROMADO,"-90,58",
28160014 - AMORTACUM 9 SILLAS DE OFICINA TAPIZADO TRANSPIRABLE EDICION OSCURA,"-174,93",
28160015 - AMORTACUM 4 MESAS DE 120X80 SOBRE LAMINADO Y PIES METALICOS,"-160,78",
28160016 - AMORTACUM 4 SILLAS DE OFICINA TAPIZADO TRANSPIRABLE EDICION OSCURA,"-90,58",
2817 Amortización acumulada de equipos para procesos de información,"-6246,2",
28170001 - AMORTACUMDE PORTATIL PREMIUM ULTRALIGERO P_RLH,"-2281,57",
28170002 - AMORTACUM DE TELEFONO MOVIL GAMA MEDIA_RLH,"-537,87",
28170003 - AMORTACUM DE PORTATIL GAMA BASICA PORTATIL_ILA,"-274,04",
28170004 - AMORTACUM DE PORTATIL GAMA BASICA PORTATIL_MT,"-274,05",
28170005 - AMORTACUM DE PORTATIL COMPACTO GAMA BASICA PORTATIL_LVP,"-276,90",
28170006 - AMORTACUM DE MONITORES PANTALLA VISUAL ANCHA_RLH,"-70,57",
28170007 - AMORTACUM DE MONITORES PANTALLA VISUAL ANCHA_LVP,"-70,58",
28170008 - AMORTACUM DE MONITORES PANTALLA VISUAL ANCHA_AFLP,"-70,57",
28170009 - AMORTACUM DE MONITOR_DBB,"-74,48",
28170010 - AMORT ACUM DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_MS,"-219,98",
28170011 - AMORT ACUM DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_DBB,"-287,07",
28170012 -  AMORT ACUM DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_KSC,"-287,07",
28170013 -  AMORT ACUM DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_AFLC,"-287,07",
28170014 - AMORT ACUM DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_AGD,"-287,07",
28170015 - AMORT ACUM DE PORTATIL GAMA BASICA PORTATIL_SAG,-220,
28170016 - AMORTACUM DE PORTATIL COMPACTO GAMA BASICA PORTATIL_NMF,"-157,41",
28170017 - AMORT ACUM DE ORDENADOR SOBREMESA GAMA ALTA_RPL,"-377,0",
28170018 - AMORT ACUM DE PORTATIL GAMA BASICA PORTATIL_MCL,"-110,50",
28170019 - AMORT ACUM DE MONITOR PANTALLA VISUAL ANCHA_KSV,"-13,76",
28170020 - AMORT ACUM ORDENADOR PORTATIL SENCILLO LVP,"-36,50",
28170021 - AMORT ACUM TELEFONO MOVIL GAMA ALTA 512GB-YPT,"-32,02",
IV. Inversiones en empresas del grupo y asociadas a largo plazo,3017,
1. Instrumentos de patrimonio,3017,
2403 Participaciones a largo plazo en empresas del grupo,3017,
24030000 - PARTICIPACIONES LP EMP GRUPO,3017,
V. Inversiones financieras a largo plazo,"2441,39",
5. Otros activos financieros,"2441,39",
26 Fianzas y depósitos constituidos a largo plazo,"2441,39",
26000001 - FIANZA MAQUINA EXPENDEDORA OFICINA AVENIDA DEL CEDRO 12,45,
26000002 - FIANZA OFICINA AVENIDA DEL CEDRO 12,1911,
