SOLANTIS BRIDGE DIGITAL SL,,
SOLANTIS BRIDGE DIGITAL SL - Pérdidas y ganancias 01/01/2023-31/12/2023,,
01/01/2023  -  31/12/2023,,
,,
,Total,
1. Importe neto de la cifra de negocios,"2.018.340,10",
b) Prestaciones de servicios,"2.018.340,10",
71100000 - INGRESOS POR SERVICIOS DE CONSULTORIA,"2.014.707,09",
71100001 - INGRESOS POR LICENCIAS DE PLATAFORMA,"3.633,01",
,,
2. Variación de existencias de productos terminados y en curso de fabr,"16.348,55",
Variación de existencias de productos terminados y en curso de fabricación,"16.348,55",
79310000 - REVERSION VARIACION PROD TERM Y CUR FAB,"16.348,55",
,,
4. Aprovisionamientos,"-924.399,77",
c) Trabajos realizados por otras empresas,"-924.399,77",
61100000 - TRABAJOS SUBCONTRATADOS DIVERSOS,"-89.666,78",
61100001 - COMPASS FIELDING NETWORK SERVICES,"-820.867,00",
61100002 - ESTUARY PAYMENT SOLUTIONS,"-13.866,00",
,,
6. Gastos de personal,"-391.557,98",
a) Sueldos salarios y asimilados,"-327.538,25",
64010000 - SUELDOS Y SALARIOS,"-327.538,25",
b) Cargos sociales,"-64.019,73",
64210000 - SEGURIDAD SOCIAL A CARGO DE LA EMPRESA,"-64.019,73",
,,
7. Otros gastos de explotación,"-486.419,96",
a) Servicios exteriores,"-486.006,50",
62100000 - ARRENDAMIENTOS Y CANONES,"-2.818,84",
62100001 - ALQUILER OFICINA CALLE ALMENDROS,"-6.220,88",
62100002 - ARRENDAMIENTO PLAZA APARCAMIENTO,"-534,61",
62300000 - SERVICIOS PROFESIONALES INDEPENDIENTES,"-313.960,20",
62500000 - PRIMAS DE SEGUROS,"-306,18",
62500001 - SEGURO DE VIDA BANCO SOLVIA,"-583,21",
62600000 - SERVICIOS BANCARIOS Y SIMILARES,"-3,16",
62600001 - Servicios bancarios BANCO SOLVIA,"-461,71",
62600003 - Servicios bancarios BANCO AURIFERA,"-3,65",
62600004 - Servicios bancarios COOPERATIVA ROBLEDO,"-208,98",
62600005 - Servicios bancarios BANCO VENTISCA,"-25,52",
62600006 - Servicios bancarios CRYPTOBRIDGE EXCHANGE,"-9.671,53",
62600008 - SERVICIOS BANCARIOS USUARIO NUCLEO,"-437,41",
62600009 - PAGOFLEX APP,"-481,15",
62600010 - Servicios bancarios CAJA MERIDIANA,"-447,13",
62700000 - PUBLICIDAD PROPAGANDA Y RELACIONES PUBLICAS,"-32.416,63",
62800000 - SUMINISTROS,"-1.701,02",
62900000 - OTROS SERVICIOS,"-5.151,67",
62900001 - OFICINA SEVILLA RONDA,"-12,39",
62900002 - GASTOS VIAJE DMC,"-11.955,76",
62900003 - OFICINA SEVILLA ALAMEDA,"-5.491,87",
62900004 - GASTOS VIAJE JFT,"-2.332,83",
62900006 - SERVICIOS TELEFONICOS,"-12.247,36",
62900007 - RECLASIFICACION IVA SOPORTADO,"-74.893,60",
b) Tributos,"-413,46",
63110000 - OTROS TRIBUTOS,"-413,46",
,,
8. Amortización del inmovilizado,"-47.632,83",
Amortización del inmovilizado,"-47.632,83",
68010001 - DOTAMORT LICENCIA SOFTWARE DE GESTION,"-45.203,56",
68210001 - DOTAMORT4 SILLONES RECEPCION,"-85,34",
68210002 - DOTAMORT4 MESAS AUXILIARES ROBLE,"-67,56",
68210003 - DOTAMORT3 CAJONERAS METALICAS,"-51,20",
68210004 - DOTAMORT3 ESTANTERIAS MODULARES,"-48,36",
68210005 - DOTAMORT5 ARCHIVADORES NORDICOS,"-42,67",
68210006 - DOTAMORT2 ARMARIOS COMPACTOS,"-39,11",
68210007 - DOTAMORT3 PUFS TRIANGULARES,"-34,14",
68210008 - DOTAMORT MESA REUNIONES OVALADA 220X110,"-32,00",
68210009 - DOTAMORT2 CONJUNTO 3 MESAS PLEGABLES 100X100,"-29,87",
68210010 - DOTAMORT MESA TRABAJO 110X70 SOBRE MADERA CLARA,"-28,45",
68210011 - DOTAMORT3 MESAS ALTAS BARRA 130X70,"-26,31",
68210012 - DOTAMORT5 TABURETES INDUSTRIALES,"-24,89",
68210013 - DOTAMORT3 BUTACAS LECTURA TAPIZADAS,"-24,18",
68210014 - DOTAMORT8 SILLAS COMEDOR NORDICAS,"-22,76",
68210015 - DOTAMORT3 MESAS TRABAJO 100X70 ROBLE,"-21,33",
68210016 - DOTAMORT3 SILLAS AUXILIARES TAPIZADAS,"-20,62",
68220001 - DOTAMORT TERRABOOK PRO PORTATIL_DMC,"-220,46",
68220002 - DOTAMORT NIMBUSPAD TABLET_DMC,"-110,23",
68220003 - DOTAMORT VELOCE NOTEBOOK PORTATIL_ORL,"-92,45",
68220004 - DOTAMORT VELOCE NOTEBOOK PORTATIL_STF,"-92,45",
68220005 - DOTAMORT ORIONBOOK 14 PORTATIL_QVN,"-88,18",
68220006 - DOTAMORT MONITOR VISTACLEAR 27_ORL,"-48,36",
68220007 - DOTAMORT MONITOR VISTACLEAR 27_STF,"-48,36",
68220008 - DOTAMORT MONITOR VISTACLEAR 27_BHK,"-48,36",
68220009 - DOTAMORT MONITOR VISTACLEAR 27_NLM,"-44,80",
68220010 - DOTAMORT ARCBOOK 15 PORTATIL_TSV,"-100,98",
68220011 - DOTAMORT ARCBOOK 15 PORTATIL_NLM,"-100,98",
68220012 - DOTAMORT ARCBOOK 15 PORTATIL_KVR,"-100,98",
68220013 - DOTAMORT ARCBOOK 15 PORTATIL_BHK,"-100,98",
68220014 - DOTAMORT ARCBOOK 15 PORTATIL_GMD,"-100,98",
68220015 - DOTAMORT VELOCE NOTEBOOK PORTATIL_SFR,"-81,07",
68220016 - DOTAMORT ORIONBOOK 14 PORTATIL_PMT,"-74,67",
68220017 - DOTAMORT NUCLEUS I7 ORDENADOR SOBREMESA_DMC,"-186,32",
68220018 - DOTAMORT VELOCE NOTEBOOK PORTATIL_LCB,"-65,43",
68220019 - DOTAMORT MONITOR VISTACLEAR 24_KSN,"-39,11",
68220020 - DOTAMORT ORIONBOOK 14 PORTATIL_LPV,"-42,67",
68220021 - DOTAMORT PULSAR PHONE X2 256GB_YTR,"-42,67",
,,
13. Otros resultados,"12.917,38",
a) Ingresos excepcionales,"12.989,72",
77810000 - INGRESOS EXCEPCIONALES,"12.989,72",
b) Gastos excepcionales,"-72,34",
67810001 - SANCIONES ADMINISTRATIVAS,"-72,34",
,,
Resultado de explotación,"197.595,49",
,,
15. Gastos financieros,"-24.421,92",
b) Por deudas con terceros,"-24.421,92",
66240001 - PRESTAMO BANCO SOLVIA,"-378,54",
66900002 - PERDIDAS OPERACIONES CON USUARIOS,"-24.043,38",
,,
16. Variación de valor razonable en instrumentos financieros,"-80,73",
a) Cartera de negociación y otros,"-80,73",
66310000 - PERDIDAS DE CARTERA DE NEGOCIACION,"-80,73",
,,
18. Deterioro y resultado por enajenaciones de instrumentos financiero,"8.275,19",
b) Resultados por enajenaciones y otras,"8.275,19",
76610000 - BENEFICIO VALORES REPRESENTATIVOS DEUDA LP,"8.275,19",
,,
Resultado financiero,"-16.227,46",
,,
Resultado antes de impuestos,"181.368,03",
,,
19. Impuestos sobre beneficios,"-34.822,66",
Impuestos sobre beneficios,"-34.822,66",
63010000 - IMPUESTO CORRIENTE,"-34.822,66",
,,
Resultado del ejercicio,"146.545,37",
,,
,,
Informe creado automáticamente con Holded - 01/01/2024 12:00,,
