DEMO COMPANY SL,,
DEMO COMPANY SL - Balance de situación 01/01/2024-31/12/2024,,
01/01/2024  -  31/12/2024,,
,,
,Total,
ACTIVO,,
Activo No Corriente,"91360,31",
I. Inmovilizado intangible,"41202,68",
5. Aplicaciones informáticas,"41202,68",
206 Aplicaciones informáticas,533296,
20600001 - CASH LESS DESARROLLO SOFTWARE,533296,
2806 Amortización acumulada de aplicaciones informáticas,"-492093,72",
28060001 - AMORTACUMCASH LESS,"-492093,72",
II. Inmovilizado material,"22015,5",
2. Instalaciones técnicas y otro inmovilizado material,"22015,5",
216 Mobiliario,"15774,70",
21600001 - 5 ASIENTOS RECLINABLES,1224,
21600002 - 5 MESAS OFICINA LINEAL,788,
21600003 - 5 CAJONERAS RODANTES,709,
21600004 - 4 ARCHIVADORES VERTICALES,1082,
21600005 - 6 ARCHIVADORES METALICOS,1118,
21600006 - 2 ARMARIOS ALTOS DE PUERTAS,519,
21600007 - 4 PUF REDONDO O CUADRADO,"825,40",
21600008 - MESA DE JUNTAS DE MEDIDAS 200X120 SOBRE LAMINADO Y PIES METALICOS,"735,0",
21600009 - 2 CONJUNTO DE 4 MESAS DE MEDIDAS 120120,"1959,4",
21600010 - MESA DE 120X80 SOBRE LAMINADOS Y PIES METALICOS,"498,8",
21600011 - 2 MESAS ALTAS DE MEDIDAS 120X80X105 SOBRE LAMINADO Y PIES METALICOS,"987,3",
21600012 - 6 SILLONES GIRATORIOS EN ACERO CROMADO,"855,1",
21600013 - 4 TABURETES REDONDOS EN ACERO CROMADO,"784,0",
21600014 - 9 SILLAS DE OFICINA TAPIZADO TRANSPIRABLE EDICION OSCURA,"1512,6",
21600015 - 4 MESAS DE 120X80 SOBRE LAMINADO Y PIES METALICOS,"1391,3",
21600016 - 4 SILLAS DE OFICINA TAPIZADO TRANSPIRABLE EDICION OSCURA,"784,0",
217 Equipos para procesos de información,"18930,21",
21700001 - AMORT DE PORTATIL PREMIUM ULTRALIGERO P_RLH,"3671,1",
21700002 - AMORT DE TELEFONO MOVIL GAMA MEDIA_RLH,"842,11",
